Epoch | Time_Start | Duration | LR | T_Loss | T_Prec | T_Rec | T_P@R0.9 | V_Loss | V_Prec | V_Rec | V_P@R0.9
0001 | 06:22:15 |  23.8s | 1.0e-04 | 0.3275 | 0.4669 | 0.0282 | 0.0866 | 0.2028 | 0.8754 | 0.0147 | 0.1393
0002 | 06:22:50 |  15.5s | 1.0e-04 | 0.1884 | 0.6786 | 0.1404 | 0.2072 | 0.1322 | 0.7372 | 0.2675 | 0.2784
0003 | 06:23:17 |  15.5s | 1.0e-04 | 0.1498 | 0.7319 | 0.4020 | 0.3065 | 0.1181 | 0.7572 | 0.4475 | 0.3104
0004 | 06:23:43 |  15.5s | 1.0e-04 | 0.1311 | 0.7583 | 0.4674 | 0.3312 | 0.1129 | 0.7714 | 0.4989 | 0.3449
0005 | 06:24:10 |  15.4s | 1.0e-04 | 0.1244 | 0.7611 | 0.5062 | 0.3556 | 0.1090 | 0.7879 | 0.5090 | 0.3714
0006 | 06:24:36 |  15.6s | 1.0e-04 | 0.1266 | 0.7611 | 0.5532 | 0.3839 | 0.1032 | 0.7730 | 0.5534 | 0.3770
0007 | 06:25:03 |  15.6s | 1.0e-04 | 0.1130 | 0.7771 | 0.5684 | 0.3953 | 0.1023 | 0.7380 | 0.6335 | 0.3966
0008 | 06:25:30 |  29.1s | 1.0e-04 | 0.1089 | 0.7843 | 0.5816 | 0.4157 | 0.0958 | 0.7814 | 0.5859 | 0.3994
0009 | 06:26:10 |  15.4s | 1.0e-04 | 0.1087 | 0.7855 | 0.6021 | 0.4242 | 0.0972 | 0.8124 | 0.5463 | 0.4074
0010 | 06:26:37 |  15.6s | 1.0e-04 | 0.1063 | 0.7914 | 0.6139 | 0.4316 | 0.0976 | 0.8186 | 0.5602 | 0.4222
0011 | 06:27:04 |  15.4s | 1.0e-04 | 0.1130 | 0.7812 | 0.6236 | 0.4293 | 0.0951 | 0.8167 | 0.5540 | 0.4188
0012 | 06:27:30 |  15.4s | 1.0e-04 | 0.1027 | 0.7979 | 0.6248 | 0.4433 | 0.0958 | 0.7835 | 0.6357 | 0.4279
0013 | 06:27:57 |  15.4s | 1.0e-04 | 0.1020 | 0.7997 | 0.6403 | 0.4549 | 0.0933 | 0.7782 | 0.6661 | 0.4525
0014 | 06:28:23 |  15.5s | 1.0e-04 | 0.1048 | 0.8004 | 0.6393 | 0.4535 | 0.0896 | 0.8081 | 0.5956 | 0.4252
0015 | 06:28:50 |  15.5s | 1.0e-04 | 0.1022 | 0.8003 | 0.6391 | 0.4582 | 0.0883 | 0.8320 | 0.5853 | 0.4425
0016 | 06:29:16 |  24.9s | 1.0e-04 | 0.1018 | 0.7989 | 0.6496 | 0.4619 | 0.0877 | 0.8125 | 0.6003 | 0.4236
0017 | 06:29:52 |  15.5s | 1.0e-04 | 0.0931 | 0.8134 | 0.6482 | 0.4688 | 0.0874 | 0.7930 | 0.6657 | 0.4613
0018 | 06:30:19 |  15.6s | 1.0e-04 | 0.0939 | 0.8128 | 0.6517 | 0.4701 | 0.0863 | 0.8062 | 0.6477 | 0.4551
0019 | 06:30:46 |  15.5s | 1.0e-04 | 0.0913 | 0.8128 | 0.6580 | 0.4790 | 0.0880 | 0.8164 | 0.6371 | 0.4633
0020 | 06:31:12 |  15.5s | 1.0e-04 | 0.0912 | 0.8141 | 0.6644 | 0.4887 | 0.0887 | 0.8187 | 0.6480 | 0.4778
0021 | 06:31:39 |  15.5s | 1.0e-04 | 0.0895 | 0.8173 | 0.6724 | 0.5016 | 0.0878 | 0.8143 | 0.6730 | 0.4975
0022 | 06:32:05 |  15.5s | 1.0e-04 | 0.0879 | 0.8214 | 0.6706 | 0.4955 | 0.0820 | 0.8085 | 0.6557 | 0.4697
0023 | 06:32:32 |  15.6s | 1.0e-04 | 0.0883 | 0.8170 | 0.6813 | 0.5144 | 0.0827 | 0.8029 | 0.6727 | 0.4886
